participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
nvbinkqjq,choice_only,True,101.41097671444722,True,6,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.6112992100457705,-0.4753484002901556,0.6124734656222226,,,,
o7piq7dwr,choice_only,True,95.01383356355076,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.7840528840111176,-1.1514693484708112,,,,
od96gfdym,choice_only,True,124.37963587086809,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.2990435274665204,-0.8520452875807665,-0.010431393115005313,,,,
omy06qkfz,choice_only,True,150.82480093937045,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.240773664130216,-4.60517,,,,
orxx7nl6z,choice_only,True,97.3886954481447,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.771677841811145,-1.5157255304061192,,,,
p5lejwwzi,choice_only,True,137.20620155168098,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.7773278939100681,-0.7170519100399888,-3.147496067414513,,,,
qhp782ect,choice_only,True,105.8127560137935,True,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.211076133173719,3.5091500602714567,0.03734150789304682,,,,
rncbe0zlg,choice_only,True,110.89419974003631,True,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.10216893567079982,-0.43918832665595503,1.3413373162103805,,,,
ru26ufirj,choice_only,True,131.1895960166171,True,3,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.60789268748317,-1.7514298720085628,0.5804568098522064,,,,
rv0b4sx2y,choice_only,True,99.78881084794006,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7047354130805557,2.1070234016760754,0.0906673560573025,,,,
s4xqtibhr,choice_only,True,138.69429186452632,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.8761600022674902,0.869454878983917,-2.669188021270379,,,,
t0p3bj6ne,choice_only,True,112.68836013634696,True,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.6389533220070823,0.040112918104794365,0.8877117274625145,,,,
ta33uq804,choice_only,True,130.1611112953372,True,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0040768815100065,-0.4479136058379253,-0.9886663055396617,,,,
u3yyfob1i,choice_only,True,139.7393569575983,True,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9641340259910343,4.025092760925653,-1.7480932630170256,,,,
uq15yb622,choice_only,True,80.60426957089646,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.5020605502284984,0.041420597155384195,0.9713185912098123,,,,
