generating_model,fitted_model,replicate,sample_kind,source_participant,success,objective,best_start_index,near_boundary,message,true_log_k_R,true_log_k_L,true_log_beta,true_alpha,true_delta_L,true_log_b,true_log_sigma,estimate_log_k_R,estimate_log_k_L,estimate_log_beta,estimate_alpha,estimate_delta_L,estimate_log_b,estimate_log_sigma
M1,choice_only,0,nominal,2rrjzhgj9,True,113.64665824882641,7,False,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.4521103700704899,0.0723012301566854,-0.3486962228070354,0.8504582948703217,0.0077900569461503,-4.7343784975509875,-1.0589105464183062,0.7412948649234384,0.0513814079814444,-0.37868315127164154,,,,
M1,M1,0,nominal,2rrjzhgj9,True,358.53888213770557,0,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.4521103700704899,0.0723012301566854,-0.3486962228070354,0.8504582948703217,0.0077900569461503,-4.7343784975509875,-1.0589105464183062,0.6975769593982291,0.0829083816156663,-0.38384833053391837,0.8453622016439895,0.031117794222967222,-4.40265033414239,-1.0346589183565176
M1,M2,0,nominal,2rrjzhgj9,True,360.20676392368387,18,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.4521103700704899,0.0723012301566854,-0.3486962228070354,0.8504582948703217,0.0077900569461503,-4.7343784975509875,-1.0589105464183062,0.6980828894096955,0.287045198962148,-0.34911477273089425,0.833021884055761,0.028691734183554397,-7.4746623079671,-1.0311318285315372
M1,M3,0,nominal,2rrjzhgj9,True,357.27848802960426,9,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.4521103700704899,0.0723012301566854,-0.3486962228070354,0.8504582948703217,0.0077900569461503,-4.7343784975509875,-1.0589105464183062,0.7240531926199968,0.07758339757084318,-0.37706250279443015,0.8669422161492903,0.03266849146925136,-3.941917628299269,-1.03973061301533
M1,choice_only,1,nominal,3lmzwis6r,True,109.17105355253285,5,False,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.164381982767911,0.0572089287362911,0.2370445544247464,1.019399091609713,0.3324606527031468,-4.389822647369406,-0.8658783414483303,1.104403923467031,0.009955881443472333,-0.08769978884086085,,,,
M1,M1,1,nominal,3lmzwis6r,True,464.6469982797072,4,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1.164381982767911,0.0572089287362911,0.2370445544247464,1.019399091609713,0.3324606527031468,-4.389822647369406,-0.8658783414483303,1.0986122865356045,0.12796216875783686,-0.0684363904390074,0.9988797022174829,0.3949662553551949,-4.138899801503682,-0.8142946578307062
M1,M2,1,nominal,3lmzwis6r,True,466.3417934871484,16,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1.164381982767911,0.0572089287362911,0.2370445544247464,1.019399091609713,0.3324606527031468,-4.389822647369406,-0.8658783414483303,1.083170909579432,0.23728974106496237,-0.06253573805747449,0.9842030256691799,0.39083863661946217,-7.343450106855876,-0.8107724392736982
M1,M3,1,nominal,3lmzwis6r,True,465.6237871828122,6,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1.164381982767911,0.0572089287362911,0.2370445544247464,1.019399091609713,0.3324606527031468,-4.389822647369406,-0.8658783414483303,1.1018619196796533,0.04752836863754125,-0.08015796567120573,1.0095178116693349,0.3907626340165211,-4.140209570288054,-0.8096873175631191
M1,choice_only,2,nominal,4f8msviwg,True,104.63106461620066,5,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.333273063060833,-1.3722748644925606,-0.4949376504269561,0.5541355821838654,0.1921540163795153,-6.620128545846345,-1.3268918497447308,-0.28519562046236424,-1.3548757133931288,-0.5427610874829929,,,,
M1,M1,2,nominal,4f8msviwg,True,252.65771742237484,3,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.333273063060833,-1.3722748644925606,-0.4949376504269561,0.5541355821838654,0.1921540163795153,-6.620128545846345,-1.3268918497447308,-0.23102805240651955,-1.09128301707218,-0.4844194392824497,0.5819311806681218,0.1706390167227996,-5.762659321461496,-1.344470495881407
