participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma,fit_run,multistarts_used,config_sha256,processed_data_sha256,data_pipeline_sha256,git_commit,runtime_sha256
ck5f3lx8c,choice_only,True,89.59282940350893,True,1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.9746410960038209,0.031161978378295884,0.7864869881795817,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
ctdyczfpw,choice_only,True,80.89807098674342,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.44968336916520046,-1.7552086409880008,0.6992505368764196,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
dasemqdsv,choice_only,True,108.59358122039612,True,18,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.791856254540428,-0.5420662510065246,-0.1677176004921707,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
derouhkrw,choice_only,True,73.6596117392657,True,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5808177123532916,-0.07508743387318542,1.2602045517669525,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
dm8t9csqy,choice_only,True,92.38987766746901,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.235415682058151,-1.0064813684737812,0.42593068284523367,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
eqi6zanpf,choice_only,True,92.46518507446696,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.5079252453427958,-1.9459165358532855,0.30797987959787093,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
etxmnk1pg,choice_only,True,111.75834863996654,True,18,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.8293576266685014,-1.290517172809822,-0.464791625141606,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
goz8d3fp9,choice_only,True,90.33993884130972,True,1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.8979933371364786,-0.6034425854219644,0.5311753046856974,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
hrqn8w6vu,choice_only,True,135.2815045414222,True,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7880236495601936,1.7618695425785633,-1.199101929490527,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
ig1j8ozi9,choice_only,True,110.10900933325482,True,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.749777520895193,1.3648364482933382,-0.09486079143184413,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
