artifact,stage,timestamp_utc,git_commit,config_sha256,raw_data_sha256,processed_data_sha256,data_pipeline_sha256,raw_archive_sha256,raw_source_mode,artifact_sha256,seed,participant,run,condition,model,fit_status,path
run_a_completion_receipt,fit_run_a,2026-08-20T18:54:14.493815+00:00,71aa972db3202b878f1753acf952ef79da923129,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,01cbcda836d69bfc5e2475fb317721def53cb58e691e2053d8dc76b149f77d3a,,,A,,,passed,results/run_a_completion.json
recovery_fit_results,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,b8b9127cfe6e1e26970279d2c733ad93d4e6528074c863e7bdab8313658db721,,,,,,completed,results/recovery/fit_results.csv
recovery_model_recovery_confusion,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,c9ae4c665c00a795cbfef7fb2bcc35a86b04f1a6dc78b32a93f58704a4727f97,,,,,,completed,results/recovery/model_recovery_confusion.csv
recovery_parameter_recovery_metrics,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,07cb2549aa2adfff765a6a1d639e73eceb13849f2ed2eed0afaf5c5c4fcd3f97,,,,,,completed,results/recovery/parameter_recovery_metrics.csv
recovery_receipt,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,a7e0c29cd73e95bc3b7893cf23440c655245a2a4f1f928a6f0e50e6a37f1c6c4,,,,,,completed,results/recovery/receipt.json
recovery_replicate_seeds,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,7460b37b890cbc97171cff258d78b3d3de9f5a118443494bde55784faea32e25,,,,,,completed,results/recovery/replicate_seeds.csv
recovery_run_b_model_scores,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,29d27f6ae9603baa65d79c46024ca1210e3063463880315a243f7eae2c42d5ae,,,,,,completed,results/recovery/run_b_model_scores.csv
recovery_runtime,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,c5cd392504de4be500ccf9e75d03a1543455b580965cde5c665eb53e33cf1161,,,,,,completed,results/recovery/runtime.json
recovery_support_shift_summary,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,aeb2897e8c7ac816332eba0d1b3054e915e5b797f7981514a77330efc59cbf21,,,,,,completed,results/recovery/support_shift_summary.csv
recovery_true_parameters,formal_recovery,2026-08-21T04:02:25.342663+00:00,eedb10fad34baaa9164db758a886f99304358357,bba8443b4a8fffb74004b69030fd669b6ad5f3032c209d06aa7642e6eacd14a0,7f6b760de3f216e6eefd8024c82a5629fad721aadedf5a8a223b6a04f28c1d38,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,,direct_mat,45ddf97ecc486bb11eb43066991ba21c766d3f1e258a016e49e3e02f29b3df4b,,,,,,completed,results/recovery/true_parameters.csv
