participant,model,choice_only,start_index,objective,optimizer_success,valid,message,iterations,gradient_norm,projected_gradient_norm,near_boundary,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma,fit_run,multistarts_used,config_sha256,processed_data_sha256,data_pipeline_sha256,git_commit,runtime_sha256
2rrjzhgj9,choice_only,True,10,111.06763589515829,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,1.9895196611754758e-05,1.9895196611754758e-05,False,0.4087071886272797,0.06000418345027957,-0.3625587366506161,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,11,111.06763589514671,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,2.842170944536394e-06,2.842170944536394e-06,False,0.40870806664831094,0.06000416326563836,-0.36255920130620195,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,12,111.06763589518027,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2.5579538500827548e-05,2.5579538500827548e-05,False,0.40870953193922377,0.06000578177547576,-0.36255940154818855,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,13,111.06763589517514,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,2.5579538483078176e-05,2.5579538483078176e-05,False,0.4087086390833941,0.06000224119574232,-0.36255909012089704,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,14,111.0676358951463,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,1.421085472268197e-06,1.421085472268197e-06,False,0.4087082218264802,0.060004449856240004,-0.3625590532908685,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,15,111.0676358951466,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,2.8421709425642416e-06,2.8421709425642416e-06,False,0.4087082436660652,0.06000462505565023,-0.3625589092087069,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,16,111.06763589515937,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,1.421085472268197e-05,1.421085472268197e-05,False,0.4087074828715087,0.0600034774573846,-0.36255870411752894,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,17,111.06763589514829,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,7.105427356410605e-06,7.105427356410605e-06,False,0.40870817412945226,0.06000377546647386,-0.36255926561850255,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,18,111.06763589514725,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,5.684341889072788e-06,5.684341889072788e-06,False,0.40870813182758753,0.06000457546013767,-0.3625587130044013,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
2rrjzhgj9,choice_only,True,19,111.06763589514725,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,4.263256416804591e-06,4.263256416804591e-06,False,0.4087085232288052,0.06000453938070977,-0.36255877340597664,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
